Date,Startup Name,Vertical,Sub Vertical,City,Investor,Round,Amount in Rs.,Month,Year
2018-11-19,automation anywhere,automation,robotics,california,softbank vision fund,Series B,2505.0,11.0,2018.0
2018-11-20,healthifyme,health and wellness,wellness coach,bengaluru,"sistema asia fund, vc samsung next, chiratae ventures, inventus capital, blume ventures and innoven capital.",Series B (Extension),50.1,11.0,2018.0
2018-11-21,genius corner,education,personalized learning,noida,individual investors,Seed Funding,0.65,11.0,2018.0
2018-11-22,aavishkaar-intellecap group,investment,sme funding,mumbai,teachers insurance and annuity association (tiaa),Equity Based Funding,258.85,11.0,2018.0
2018-11-22,skillbox,social network,art,gurugram,individual investors,Seed Funding,0.0,11.0,2018.0
2018-11-23,signzy,financial tech,digital onboarding solution,mumbai/bengaluru,"stellaris venture partners and kalaari capital, rajan anandan from google, dilip khandwelwal from sap labs india, and amrish rau from payu india",Series A,28.39,11.0,2018.0
2018-11-24,engineer,software,ai platform,india/us,"lakestar and jungle ventures, softbank  deepcore.",Series A,79.33,11.0,2018.0
2018-11-25,incred finance,finance,sme lending,india,"paragon partners, individual investors",Private Equity,350.7,11.0,2018.0
2018-11-25,roposo,social media,video sharing,delhi,bertelsmann india investments,Series B,14.2,11.0,2018.0
2018-10-02,origo commodities india pvt. ltd,logistics,supply chain,hyderabad,"cooperative oikocredit, caspian and hivos-triodos fund",Seed/ Angel Funding,91.85,10.0,2018.0
2018-10-04,grover zampa,food,wine,mumbai,ravi viswanathan,Private Equity,68.47,10.0,2018.0
2018-10-05,droom,automobile,new and used cars platform,gurgaon,zigexn,Series E,25.05,10.0,2018.0
2018-10-11,innov8,real estate,co-working,new delhi,credence family office,Pre-Series A,33.4,10.0,2018.0
2018-10-12,blackbuck,logistics tech,largest trucking platform,bengaluru,sequoia capital india,Private Funding,122.58,10.0,2018.0
2018-10-12,letstransport,logistics tech,book trucks online,bengaluru,fosun international,Series C,100.2,10.0,2018.0
2018-09-01,netmeds,consumer internet,online pharmacy chain,chennai,"sistema asia fund, sistema jsfc and tanncam investment",Private Equity,292.25,9.0,2018.0
2018-09-03,udaan,b2b platform,logistics and shipping,bengaluru,dst global and lightspeed venture partners\\xe2\\x80\\x99 global fund.,Private Equity,41.75,9.0,2018.0
2018-09-03,daily hunt,consumer internet,news and ebooks mobile app\\xc2\\xa0,bengaluru,falcon edge,Private Equity,53.36,9.0,2018.0
2018-09-04,3hcare,healthcare,healthcare service provider,delhi,,Seed / Angel Funding,8.35,9.0,2018.0
2018-09-05,nykaa,consumer internet,online marketplace for multi-brand beauty cosmetic and wellness products,mumbai,lighthouse,Private Equity,1312.62,9.0,2018.0
2018-09-06,dream11,consumer internet,online gaming platform,mumbai,"tencent, kalaari capital and private equity firm multiples alternate asset management",Private Equity,835.0,9.0,2018.0
2018-09-10,mamaearth,healthcare,online marketplace for mother and babycare products,gurugram,stellaris ventures & others,Private Equity,33.4,9.0,2018.0
2018-09-11,autogrid,technology,ai-based energy optimisation and control provider,bengaluru,"clp holdings group, innogy, \\xc3\\x98rstead, and tenaska",Private Equity,267.2,9.0,2018.0
2018-09-11,pharmeasy,consumer internet,online marketplace for pharmaceutical products,mumbai,innoven capital,Debt Funding,45.92,9.0,2018.0
2018-09-11,upwards,fin-tech,online micro lending marketplace,mumbai,"shunwei capital,quotient, mayfield & others",Private Equity,41.75,9.0,2018.0
2018-09-12,kissht,fin-tech,online lending platform,mumbai,"vertex ventures southeast asia (sea) and india and sistema asia fund, fosun rz capital, ventureast, and endiya partners.\\n\\n",Private Equity,250.5,9.0,2018.0
2018-08-01,dishq,food tech,personalisation technology firm focusing on the food and beverage industry,bengaluru,"farm to fork, arts alliance, the syndicate fund, sven hensen, zeroth and artesian venture partners",Seed/ Angel Funding,3.34,8.0,2018.0
2018-08-02,samosa labs,consumer internet,social media and chat entertainment platform,hyderabad,xiaomi and sequoia capital india,Private Equity,58.45,8.0,2018.0
2018-08-03,ziffyhomes,consumer internet,online home rental marketplace,gurugram,y combinator,Private Equity,1.0,8.0,2018.0
2018-08-07,my omnamo,consumer internet,holy platform offering customised puja packages to individuals and corporates,mumbai,,Seed/ Angel Funding,8.35,8.0,2018.0
2018-08-07,shopx,consumer internet,assisted e-commerce platform,bengaluru,fung strategic holdings,Private Equity,292.25,8.0,2018.0
2018-08-07,makemytrip,consumer internet,online travel aggregator,gurugram,makemytrip limited,Private Equity,83.5,8.0,2018.0
2018-08-08,hansel io,consumer internet,real-time mobile app management,bengaluru,vertex ventures,Seed/ Angel Funding,33.4,8.0,2018.0
2018-08-08,metro bikes,consumer internet,online bike rental marketplace,bengaluru,"sequoia capital india advisors, accel partners and g raghunandan",Private Equity,101.87,8.0,2018.0
2018-08-08,phone pe,consumer internet,upi payments app,bengaluru,flipkart,Private Equity,551.1,8.0,2018.0
2018-08-09,quizizz,ed-tech,e-learning platform,bengaluru,"nexus venture partners, prime venture partners and others",Seed/ Angel Funding,25.05,8.0,2018.0
2018-08-09,happy emi,fin-tech,consumer financing platform,bengaluru,aj ventures and jain international trade organisation (jito),Seed/ Angel Funding,8.35,8.0,2018.0
2018-08-13,inthree,consumer internet,rural e-commerce platform,chennai,"ventureast, orios venture partners and the ian fund",Seed/ Angel Funding,33.4,8.0,2018.0
2018-08-13,observe ai,technology,ai based solutions platform,bengaluru,"nexus venture partners, mgv, liquid 2 ventures, hack vc, emergent ventures and y combinator",Private Equity,66.8,8.0,2018.0
2018-08-16,enakshi,consumer internet,ai based solutions platform,ahemadabad,,Seed/ Angel Funding,0.96,8.0,2018.0
2018-08-17,eazydiner,consumer internet,online restaurant table reservation platform,gurugram,denlow investment trust and beenext,Private Equity,48.85,8.0,2018.0
2018-08-20,finzy,finance,online loan matchmaking platform,bengaluru,,Seed / Angel Funding,8.35,8.0,2018.0
2018-08-20,rawpressery,consumer internet,online organic juice delivery service,mumbai,alteria capital,Debt Funding,40.08,8.0,2018.0
2018-08-22,pi ventures,technology,applied artificial intelligence and iot focused\\xc2\\xa0platform,bengaluru,cdc group plc\\xc2\\xa0,Private Equity,50.1,8.0,2018.0
2018-08-22,revv,consumer internet,online indian car rental platform,gurugram,"hyundai, edelweiss and beenext, dream incubator, sunjay kapoor and telama investment",Private Equity,119.15,8.0,2018.0
2018-08-26,zestmoney,consumer internet,online lending platform,bengaluru,"xiaomi,payu, ribbit capital and omidyar network",Private Equity,111.89,8.0,2018.0
2018-08-26,shubh loans,fin-tech,\\xc2\\xa0customer sourcing platform\\xc2\\xa0,bengaluru,"saama capital, sri capital, beenext, and pravega ventures",Private Equity,35.07,8.0,2018.0
2018-08-27,myupchar,healthcare,local language health content app,delhi,"nexus venture partners, omidyar network and shunwei capital",Private Equity,41.75,8.0,2018.0
