Date,Startup Name,Vertical,Sub Vertical,City,Investor,Round,Amount in Rs.,Month,Year
2016-08-24,unaacademy,consumer internet,free interactive education platform,bangalore,"blume ventures, sachin bansal, vijay shekhar sharma, binny bansal,\\xc2\\xa0 kunal shah, sandeep tandon, ashish tulsian",Private Equity,8.35,8.0,2016.0
2016-08-24,advenio,technology,clinical imaging solution provider,chandigarh,kalaari capital,Seed Funding,0.83,8.0,2016.0
2016-08-24,guarented,ecommerce,home furnishing rental marketplace,bangalore,kalaari capital,Seed Funding,4.17,8.0,2016.0
2016-08-24,uber dreams,ecommerce,dreams fulfilling marketplace,mumbai,mohit lalvani,Seed Funding,4.17,8.0,2016.0
2016-08-24,convegenius,education,edutainment platform,noida,michael and susan dell foundation,Private Equity,7.51,8.0,2016.0
2016-08-24,urbanladder,ecommerce,online furniture store,mumbai,trifecta capital,Private Equity,25.05,8.0,2016.0
2016-08-25,cult,healthcare,health and fitness centres,bangalore,curefit,Private Equity,25.05,8.0,2016.0
2016-08-25,zoomcar,consumer internet,self-driven car booking platform,bangalore,ford smart mobility llc,Private Equity,33.4,8.0,2016.0
2016-08-26,plix,consumer internet,photo and video sharing app,gurgaon,instalabs,Seed Funding,4.17,8.0,2016.0
2016-08-26,mobikwik,consumer internet,digital wallet platform,gurgaon,net1 ueps technologies inc,Private Equity,334.0,8.0,2016.0
2016-08-26,mydidi,consumer internet,"on-demand, hyper-local cleaning services provider",mumbai,undisclosed ex mckinsey directors and partners,Seed Funding,4.59,8.0,2016.0
2016-08-29,loantap,consumer internet,lending platform for salaried professionals,mumbai,"dr. abhishek pandey, jaysukh sapra",Private Equity,25.05,8.0,2016.0
2016-08-29,runnr,consumer internet,hyperlocal logistics services provider,bangalore,"nexus venture partners, blume ventures",Private Equity,58.45,8.0,2016.0
2016-08-29,notion press,consumer internet,self-publishing books platform,chennai,undisclosed hni investors,Private Equity,8.35,8.0,2016.0
2016-08-29,livspace,consumer internet,online portal for home design,bangalore,"bessemer venture partners, jungle ventures, helion ventures",Private Equity,125.25,8.0,2016.0
2016-08-30,iaugmentor labs,technology,assessment & learning platform,gurgaon,rajasthan angel investor network & others,Seed Funding,1.24,8.0,2016.0
2016-08-30,daybox,consumer internet,fruit & vegetable delivery platform,new delhi,"ashutosh lawania, rajul jain, badal malick, rishi gupta & others",Seed Funding,0.87,8.0,2016.0
2016-08-30,paytm,ecommerce,mobile wallet & ecommerce platform,bangalore,mediatek inc.,Private Equity,501.0,8.0,2016.0
2016-08-30,canvera,consumer internet,photographer discovery & information platform,bangalore,info edge (india) ltd,Private Equity,25.05,8.0,2016.0
2016-08-31,flyrobe,ecommerce,online fashion rental platform,mumbai,"idg ventures, sequoia capital, gree ventures",Private Equity,44.26,8.0,2016.0
2016-07-01,venture catalysts,consumer internet,seed investment & innovation platform,mumbai,zaffiro ventures,Seed Funding,4.17,7.0,2016.0
2016-07-02,playment,consumer internet,mobile marketplace for crowdsourced work,bangalore,saif partners,Private Equity,5.84,7.0,2016.0
2016-07-04,curefit,consumer internet,online preventive healthcare platform,bangalore,"accel partners, idg ventures, kalaari capital",Private Equity,125.25,7.0,2016.0
2016-07-04,neogrowth,finance,sme lending platform,mumbai,"iifl wealth management seed venture fund, omidyar network, khosla impact, aspada",Private Equity,133.6,7.0,2016.0
2016-07-05,seedoc,consumer internet,video based doctor consulting platform app,gurgaon,yournest angel fund\\xc2\\xa0 & others,Private Equity,8.35,7.0,2016.0
2016-07-05,bookmyshow,consumer internet,event & movie ticketing platform,mumbai,"stripes group, network 18, accel partners, saif partners",Private Equity,684.7,7.0,2016.0
2016-07-05,flyrobe,ecommerce,online fashion rental platform,mumbai,"sequoia capital, rohit bansal, kunal bahl, sandeep tandon, kunal shah, zishaan hayath,\\xc2\\xa0 abhishek jain",Seed Funding,14.2,7.0,2016.0
2016-07-06,happilyunmarried,ecommerce,online merchandize etailer,new delhi,info edge (india) ltd,Private Equity,6.18,7.0,2016.0
2016-07-06,don\\xe2\\x80\\x99t scratch your head,technology,full stack offline & online erp solution,ahmedabad,"gaurav singhvi, zaffiro ventures",Seed Funding,0.42,7.0,2016.0
2016-07-06,wedding wishlist,consumer internet,"wedding wishlist, gifts & registry creation platform",chennai,"kirthiga reddy, renuka ramanath,cherry tin",Seed Funding,0.81,7.0,2016.0
2016-07-07,adytude,consumer internet,gamified consumer insights portal,new delhi,indian angel network,Private Equity,8.35,7.0,2016.0
2016-07-08,holachef,consumer internet,online food ordering & delivery platform,mumbai,"kalaari capital, india quotient",Private Equity,16.28,7.0,2016.0
2016-07-11,purplle,ecommerce,beauty products marketplace,mumbai,"jsw ventures, blume ventures & ivycap ventures",Private Equity,50.1,7.0,2016.0
2016-07-11,trak n tell,technology,car tracking & safety system,gurgaon,brian acton,Private Equity,29.23,7.0,2016.0
2016-07-11,overcart,ecommerce,unboxed & refurbished electronic products marketplace,gurgaon,"jsw ventures, omidyar network, sattva capital, venture works",Private Equity,25.05,7.0,2016.0
2016-07-12,sirionlabs,technology,saas based service agreement management,gurgaon,sequoia capital,Private Equity,102.29,7.0,2016.0
2016-07-13,yaap,consumer internet,"online content discovery, creation & distribution platform",new delhi,rainmaker ventures,Private Equity,41.75,7.0,2016.0
2016-07-13,twigly,consumer internet,online food ordering & delivery startup,gurgaon,"tracxn labs, hyderabad angels, kunal shah, gaurav bhalotia",Seed Funding,5.01,7.0,2016.0
2016-07-13,sharechat,consumer internet,vernacular language content creation & sharing app,bangalore,"saif partners, india quotient",Private Equity,11.27,7.0,2016.0
2016-07-13,rentmojo,consumer internet,online furniture renting platform,bangalore,"accel partners, idg ventures india",Private Equity,41.75,7.0,2016.0
2016-07-14,augrav,ecommerce,personalized precious jewellery etailer,coimbatore,keiretsu forum,Seed Funding,3.76,7.0,2016.0
2016-07-14,shoppinpal,technology,m-commerce solutions for retail stores,pune,"plug and play tech center, steelhead ventures & others",Private Equity,8.93,7.0,2016.0
2016-07-15,workapps,technology,enterprise work management software,pune,sri capital,Seed Funding,8.35,7.0,2016.0
2016-07-15,tripshelf,ecommerce,travel package marketplace,new delhi,gems group,Seed Funding,0.42,7.0,2016.0
2016-07-15,ridlr,consumer internet,public transport mobile app,mumbai,"times internet, innoven capital, matrix partners india, qualcomm ventures",Private Equity,50.1,7.0,2016.0
2016-07-18,yellowdig,consumer internet,online learning platform,pune,sri capital,Seed Funding,5.43,7.0,2016.0
2016-07-18,zuppler,consumer internet,online food ordering platform,new delhi,sri capital,Seed Funding,5.43,7.0,2016.0
2016-07-18,bluestone,ecommerce,jewellery etailer,mumbai,"iifl and accel partners, kalaari capital, ivycap ventures, rb investments",Private Equity,250.5,7.0,2016.0
2016-07-19,sagacito,technology,cloud-based enterprise solutions,new delhi,star india pvt ltd,Private Equity,83.5,7.0,2016.0
2016-07-19,deal4loans / wishfin,consumer internet,\\nloans comparison platform\\n\\n\\n\\n (adsbygoogle = window.adsbygoogle || []).push({});\\n\\n,noida,franklin templeton international services pvt. ltd,Private Equity,125.25,7.0,2016.0
2016-07-19,niyo solutions,technology,payroll & benefits software solutions,bangalore,prime venture partners,Private Equity,8.35,7.0,2016.0
2016-07-19,applop,consumer internet,mobile apps saas platform,gurgaon,green house ventures accelerator,Seed Funding,0.42,7.0,2016.0
2016-07-20,tax2win,consumer internet,online tax filing portal,jaipur,undisclosed investors,Private Equity,8.35,7.0,2016.0
2016-07-20,truckola,logistics,tech-focused cargo transport startup,mumbai,"abhishek agarwal, krishnakumar nataraj, sarath sura, shanti mohan, sarthak and nihit agarwal, suramya gupta",Seed Funding,4.97,7.0,2016.0
2016-07-21,mytaxiindia,consumer internet,online car rental booking platform,new delhi,nihon kotsu co,Private Equity,8.35,7.0,2016.0
2016-07-21,wiwigo,consumer internet,inter-city taxi booking platform,bangalore,indian angel network,Seed Funding,4.97,7.0,2016.0
2016-06-02,atomberg,technology,"smart, energy efficient home appliance manufacturer",mumbai,parampara capital,Private Equity,8.35,6.0,2016.0
2016-06-02,limo,consumer internet,bus aggregator mobile app,mumbai,rainmaker ventures,Private Equity,8.35,6.0,2016.0
2016-06-03,gogo truck,consumer internet,truck aggregator & booking platform,chennai,undisclosed investor,Seed Funding,0.63,6.0,2016.0
2016-06-06,sillymonks,consumer internet,digital media and entertainment startup,hyderabad,sreenivasa reddy musani,Seed Funding,3.74,6.0,2016.0
2016-06-07,cuemath,education,k-12 maths learning courses,bangalore,"sequoia capital, unitus seed fund",Private Equity,33.4,6.0,2016.0
2016-06-07,intgrea,technology,post merger integration partners,bangalore,undisclosed investor,Seed Funding,0.83,6.0,2016.0
2016-06-07,helpshift,technology,mobile crm platform,pune,"microsoft ventures, salesforce ventures",Private Equity,25.05,6.0,2016.0
2016-06-07,creditvidya,technology,credit scoring platform,mumbai,kalaari capital,Private Equity,8.35,6.0,2016.0
2016-06-08,grey campus,consumer internet,online learning platform,hyderabad,sarath sura,Seed Funding,8.35,6.0,2016.0
2016-06-08,listup,ecommerce,location based classified mobile app,mumbai,"kae capital, kunal shah, sandeep tandon",Seed Funding,4.17,6.0,2016.0
2016-06-08,storeking,ecommerce,connecting small town consumers to e-commerce,bangalore,axiata digital,Private Equity,133.6,6.0,2016.0
2016-06-10,paytunes,consumer internet,mobile based rewards platform,new delhi,"cio angel network, indian angel network",Private Equity,4.17,6.0,2016.0
2016-06-13,bombay shirt company,ecommerce,online custom shirt retailer,mumbai,undisclosed investor,Private Equity,8.35,6.0,2016.0
2016-06-13,matrubharti,consumer internet,e-book publisher,,viridian capital,Seed Funding,0.25,6.0,2016.0
2016-06-14,jivox,technology,data driven advertising platform,bangalore,"you & mr jones, fortisure ventures, diaz nesamoney",Private Equity,50.1,6.0,2016.0
2016-06-14,sminq,consumer internet,queue management mobile app,pune,"saama capital, blume ventures & vaibhav domkundwar",Seed Funding,8.35,6.0,2016.0
2016-06-14,curejoy,consumer internet,online alternative health community platform,bangalore,accel partners india,Private Equity,36.74,6.0,2016.0
2016-06-15,oneway.cab,consumer internet,taxi rental platform,vadodara,indian angel network,Seed Funding,3.76,6.0,2016.0
2016-06-16,diro labs,consumer internet,contact management mobile app,new delhi,info edge (india) ltd,Private Equity,3.76,6.0,2016.0
2016-06-16,unnati helpers,consumer internet,help hiring platform,gurgaon,info edge (india) ltd,Private Equity,5.01,6.0,2016.0
2016-06-17,cleartax,consumer internet,online tax filing platform,new delhi,"ravi adusumalli, saif partners",Private Equity,100.2,6.0,2016.0
2016-06-17,silvan innovation labs,technology,home automation solutions,bangalore,infuse ventures,Private Equity,7.51,6.0,2016.0
2016-06-17,greythr,technology,payroll & hr software developer,bangalore,"new enterprise associates (nea), blume ventures",Private Equity,43.42,6.0,2016.0
2016-06-21,onspoon,consumer internet,online platform for event sponsorship,mumbai,swan angel network,Seed Funding,1.25,6.0,2016.0
2016-06-21,celerix,technology,fintech product development & services startup,bangalore,bitkemy ventures,Seed Funding,3.34,6.0,2016.0
2016-06-21,naturenama,consumer internet,online outdoors & travel,mumbai,unicorn venture,Seed Funding,0.04,6.0,2016.0
2016-06-21,syona cosmetics,fmcg,beauty products & training to salons & spas,chennai,the chennai angels,Seed Funding,1.25,6.0,2016.0
2016-06-21,prettysecrets,ecommerce,women lingerie store,mumbai,"rb investments pte ltd, orios venture partners",Private Equity,50.1,6.0,2016.0
2016-06-22,spiderg,consumer internet,online invoice app for smes,pune,"rahul kirloskar, fusion tech ventures, adi saravanan, pravin dongre, mahendra doshi",Seed Funding,1.25,6.0,2016.0
2016-06-23,fareye,technology,logistics management software,new delhi,saif partners,Private Equity,29.23,6.0,2016.0
2016-06-23,the uolo,consumer internet,school parent communication app,bangalore,"purvi ventures, rajul garg, vipin arora",Seed Funding,0.08,6.0,2016.0
2016-06-24,drivify,consumer internet,professional driver discovery & booking mobile app,mumbai,"jitendra gupta, pankaj tripathi",Seed Funding,0.42,6.0,2016.0
2016-06-24,parablu,technology,cloud data security & privacy solutions,bangalore,kalaari capital,Seed Funding,4.17,6.0,2016.0
2016-06-24,schedulers logistics,logistics,cold storage logistics solutions,mumbai,gvfl,Private Equity,50.1,6.0,2016.0
2016-06-24,leap india,others,supply chain equipment & services provider,mumbai,mayfield ventures,Private Equity,25.05,6.0,2016.0
2016-06-24,kabadiexpress,others,free door step scrap pickup service,new delhi,undisclosed investor,Seed Funding,1.24,6.0,2016.0
2016-06-27,yourdost,consumer internet,online counselling & personal coaching platform,bangalore,"saif partners, aprameya radhakrishnan, phanindra sama, subba rao telidevara, vibhu garg, paula ravindra mariwala, gaurav bhalotia",Seed Funding,10.02,6.0,2016.0
2016-06-27,gomalon,consumer internet,online spa & salon discovery & booking platform,bangalore,undisclosed investor,Seed Funding,0.83,6.0,2016.0
2016-06-27,travelyaari,consumer internet,online ticket booking platform,bangalore,gvfl ltd,Private Equity,25.05,6.0,2016.0
2016-06-28,fabhotels,consumer internet,online hotel aggregator & booking platform,gurgaon,"accel partners, rb investments",Private Equity,66.8,6.0,2016.0
2016-06-28,locanix,technology,gps based saas solutions,ahmedabad,undisclosed investors,Seed Funding,2.5,6.0,2016.0
2016-06-28,lendingkart,consumer internet,online working capital business loans platform,ahmedabad,"bertelsmann india investments, mayfield india, saama capital, india quotient",Private Equity,267.2,6.0,2016.0
2016-06-28,hello tax,consumer internet,online tax filing platform,new delhi,sanjeev sinha,Seed Funding,0.79,6.0,2016.0
2016-06-29,letreach,ecommerce,ecommerce saas solutions,new delhi,vcommission,Private Equity,0.83,6.0,2016.0
2016-06-29,trendieapp,technology,visual content marketing,kolkata,harsh vardhan hada,Seed Funding,0.42,6.0,2016.0
2016-06-29,velvetcase,ecommerce,online designer jewellery marketplace,mumbai,"uniqorn ventures fund, tv mohandas pai, s somasegar",Private Equity,12.53,6.0,2016.0
2016-06-30,meru cabs,consumer internet,online/ mobile tax cab booking,mumbai,brand capital,Private Equity,41.75,6.0,2016.0
2016-06-30,biryani blues,food & beverage,qsr chain,gurgaon,carpediem capital & others,Private Equity,3.07,6.0,2016.0
2016-05-01,get my parking,technology,parking technology platform,new delhi,the chennai angels,Seed Funding,3.14,5.0,2016.0
2016-05-01,prescribez,consumer internet,health service aggregator platform,pune,ankush mehta,Seed Funding,1.21,5.0,2016.0
2016-05-03,mobikwik,consumer internet,mobile & digital wallet,gurgaon,"gmo payment gateway, mediatek",Private Equity,417.5,5.0,2016.0
2016-05-03,zwayam,consumer internet,online recruitment platform,bangalore,undisclosed investors,Seed Funding,0.42,5.0,2016.0
2016-05-03,zuver,consumer internet,car driver discovery app,mumbai,"shruth & smith group, hermes group",Seed Funding,1.5,5.0,2016.0
2016-05-04,lenskart,ecommerce,eyewear & accessories etailer,new delhi,"international finance corp, tpg growth, adveq management, idg ventures, ratan tata, kris gopalakrishnan",Private Equity,501.0,5.0,2016.0
2016-05-04,seclore,technology,enterprise security technology platform,mumbai,"sistema asia fund, helion venture, ventureeast, india alternatives",Private Equity,100.2,5.0,2016.0
2016-05-04,mydentistchoice,ecommerce,medical supplies etailer,hyderabad,undisclosed investors,Seed Funding,1.25,5.0,2016.0
2016-05-04,active ai,technology,intelligent tech platform for finance vertical,singapore,kalaari capital accelerator program,Seed Funding,4.17,5.0,2016.0
2016-05-04,affordplan,technology,affordable non-emergency medical service health plans,new delhi,kalaari capital accelerator program,Seed Funding,4.17,5.0,2016.0
2016-05-04,indee,consumer internet,web video streaming platform,bangalore,kalaari capital accelerator program,Seed Funding,4.17,5.0,2016.0
2016-05-05,weballigator,consumer internet,cloud based software solutions,bangalore,group of undisclosed angel investors & hnis,Seed Funding,3.13,5.0,2016.0
2016-05-06,eduace services,education,education workshops & mentoring programs,lucknow,momagic technologies,Private Equity,8.35,5.0,2016.0
2016-05-07,zebroads,logistics,logistics and warehousing services,hyderabad,undisclosed investors,Seed Funding,0.63,5.0,2016.0
2016-05-09,locus,technology,logistics intelligence platform,bangalore,"exfinity venture partners, blume ventures, beenext, rajesh ranavat",Private Equity,6.26,5.0,2016.0
2016-05-09,toko innovations,consumer internet,children\\xe2\\x80\\x99s entertainment portal,bangalore,"roopak saluja, vishal khare",Seed Funding,3.76,5.0,2016.0
2016-05-09,rentickle,ecommerce,"furniture, appliances portal",new delhi,"manish kheterpal, vinay mittal, dinesh mittal, sandeep gupta",Seed Funding,0.42,5.0,2016.0
2016-05-10,healthifyme,consumer internet,health & fitness app,bangalore,"idg ventures india, inventus capital, blume ventures",Private Equity,50.1,5.0,2016.0
2016-05-10,zarget,consumer internet,conversion rate optimization platform,chennai,"accel partners, matrix partners, girish mathrubootham",Private Equity,12.53,5.0,2016.0
2016-05-10,innonano research,technology,clean water technology,chennai,nanoholdings,Private Equity,150.3,5.0,2016.0
2016-05-10,schoolwear,ecommerce,school uniform & supplies marketplace,mumbai,undisclosed investors,Seed Funding,12.53,5.0,2016.0
2016-05-10,swiggy,consumer internet,food delivery platform,bangalore,"norwest venture partners, dst global, accel partners",Private Equity,58.45,5.0,2016.0
2016-05-11,zenify,consumer internet,home rental discovery & booking portal,bangalore,undisclosed investors,Private Equity,7.51,5.0,2016.0
2016-05-11,fractal analytics,technology,data analytics company,mumbai,khazanah nasional berhad,Private Equity,835.0,5.0,2016.0
2016-05-12,unacademy,consumer internet,free online education platform,bangalore,"blume ventures, rajan anandan, sumit jain, aprameya radhakrishna, sujeet kumar, phanindra sama",Seed Funding,4.17,5.0,2016.0
2016-05-12,capital float,consumer internet,online lending platform,bangalore,"creation investments capital management, saif partners, sequoia capital, aspada ventures",Private Equity,41.75,5.0,2016.0
2016-05-12,life circle,healthcare,senior healthcare services,hyderabad,groupe sos,Private Equity,1.25,5.0,2016.0
2016-05-13,stayzilla,consumer internet,budget room aggregator booking platform,chennai,"matrix partners, nexus ventures",Private Equity,112.72,5.0,2016.0
2016-05-16,smartivity,ecommerce,smart learning products,delhi,"s chand, advantedge partners",Private Equity,8.35,5.0,2016.0
2016-05-18,thesmartq,consumer internet,food ordering mobile app,bangalore,yournest angel fund,Seed Funding,0.42,5.0,2016.0
2016-05-18,purplehealth,consumer internet,online health-on-demand platform,trivandrum,katabole technology venture,Seed Funding,0.83,5.0,2016.0
2016-05-18,edupristine,education,online certification courses,mumbai,"kaizen management advisors, devry inc",Private Equity,83.5,5.0,2016.0
2016-05-18,bhiveworkspace,reality,co-working spaces,bangalore,blume ventures,Private Equity,8.35,5.0,2016.0
2016-05-19,appie,consumer internet,location-based offline retail discovery platform,mumbai,undisclosed investors,Seed Funding,8.35,5.0,2016.0
2016-05-19,taxivaxi,consumer internet,cab aggregating platform,new delhi,undisclosed hnis,Seed Funding,4.17,5.0,2016.0
2016-05-19,veqta,consumer internet,on demand digital sports network,new delhi,"chatsworth management, itw digital",Seed Funding,4.17,5.0,2016.0
2016-05-20,i2ifunding,consumer internet,online peer to peer funding,noida,undisclosed investors,Seed Funding,2.5,5.0,2016.0
2016-05-23,hoppingo,consumer internet,fashion discovery platform,new delhi,vcommission,Seed Funding,0.74,5.0,2016.0
2016-05-24,goalwise,consumer internet,online investment platform,bangalore,undisclosed hnis,Seed Funding,8.35,5.0,2016.0
2016-05-25,address health,healthcare,pediatric primary healthcare network,bangalore,gray matters capital,Private Equity,12.53,5.0,2016.0
2016-05-25,arcatron mobility,technology,mobility devices for differently abled,pune,sudhir mehta,Seed Funding,0.83,5.0,2016.0
2016-05-26,mchamp,consumer internet,celebrity entertainment contest app,new delhi,momagic technologies,Seed Funding,3.97,5.0,2016.0
2016-05-31,koovs,ecommerce,apparel & lifestyle etailer,new delhi,ht media ltd,Private Equity,36.74,5.0,2016.0
2016-05-31,ccavenue,consumer internet,payment gateway,mumbai,nsi infinium global pvt. ltd,Private Equity,74.31,5.0,2016.0
2016-05-31,machadalo,consumer internet,hyperlocal advertising platform,mumbai,undisclosed investors,Seed Funding,1.46,5.0,2016.0
2016-04-01,dil mil,consumer internet,matchmaking mobile app,sfo / bangalore,"nelstone ventures, transmedia capital, maiden lane ventures, csc upshot & angel investors",Private Equity,5.84,4.0,2016.0
2016-04-04,hungama,consumer internet,digital media entertainment portal,mumbai,xiaomi inc,Private Equity,41.75,4.0,2016.0
2016-04-06,shipsy,logistics,logistics solutions,gurgaon,dtdc express ltd,Private Equity,8.35,4.0,2016.0
2016-04-06,gear6,consumer internet,online bike service and repairs platform,bangalore,ninestarter,Seed Funding,4.17,4.0,2016.0
2016-04-06,myglamm,consumer internet,mobile based on-demand beauty services platform,mumbai,l\\xe2\\x80\\x99occitane,Private Equity,50.1,4.0,2016.0
2016-04-06,petoo,consumer internet,online food delivery platform,bangalore,axilor ventures,Private Equity,8.35,4.0,2016.0
2016-04-08,imedilane,consumer internet,online health diagnosis platform,new delhi,"mahendra patel, nilender chauhan",Seed Funding,0.33,4.0,2016.0
2016-04-11,oyo,consumer internet,online branded budget room booking service,new delhi,"softbank, sequoia capital, lightspeed venture partners, greenoaks capital, dsg consumer partners and venture nursery",Private Equity,835.0,4.0,2016.0
2016-04-11,priceraja,consumer internet,price comparison portal,gurgaon,prashant puri,Seed Funding,2.5,4.0,2016.0
2016-04-12,magicx,consumer internet,on-demand task management app,bangalore,"kris gopalakrishnan, dr. ranjan pai",Seed Funding,8.35,4.0,2016.0
2016-04-13,legalraasta,consumer internet,online legal services for startups,new delhi,"pravin khandelwal, yatin kumar jain",Seed Funding,8.35,4.0,2016.0
2016-04-13,raincan,consumer internet,subscription-based grocery delivery mobile app,pune,dr. aniruddha malpani,Seed Funding,1.25,4.0,2016.0
2016-04-13,hippily,ecommerce,fashion ecommerce app,mumbai,"dr. sridhar ramaswamy, rakesh mathur",Seed Funding,0.42,4.0,2016.0
2016-04-13,kredx,ecommerce,invoice discounting\\xc2\\xa0 marketplace,bangalore,prime venture partners,Seed Funding,6.26,4.0,2016.0
2016-04-14,beaconstalk,technology,contextual mobile advertising,mumbai,"rajeev agrawal, prashant gooty",Seed Funding,0.83,4.0,2016.0
2016-04-15,renewbuy,consumer internet,online car & bike insurance comparison portal,new delhi,mount nathan advisors,Seed Funding,8.35,4.0,2016.0
2016-04-15,vyomo,consumer internet,on-demand beauty service provider,new delhi,naturals salon chain,Private Equity,125.25,4.0,2016.0
2016-04-15,nestaway,consumer internet,furnished home rental platform,bangalore,tiger global,Private Equity,250.5,4.0,2016.0
2016-04-15,tapchief,consumer internet,expert advice platform,bangalore,vijay shekhar sharma,Seed Funding,1.25,4.0,2016.0
2016-04-18,jugnoo,consumer internet,on-demand delivery & logistics platform,chandigarh,paytm & existing investors,Private Equity,83.5,4.0,2016.0
2016-04-19,betaout,ecommerce,customer intelligence and marketing automation platform,noida,"stanford angels, letsventure, chennai angels, hyderabad angels, mumbai angels",Private Equity,12.53,4.0,2016.0
2016-04-19,driverscart,consumer internet,on-demand chauffeur provider,chennai,ah! ventures,Seed Funding,3.76,4.0,2016.0
2016-04-20,1mg,ecommerce,online pharmacy,gurgaon,"maverick capital ventures, sequoia capital, omidyar network",Private Equity,125.25,4.0,2016.0
2016-04-22,licious,ecommerce,mobile based meat ordering app,bangalore,mayfield india ii management ltd,Private Equity,25.05,4.0,2016.0
2016-04-22,toko innovation studios,consumer internet,children\xe2\x80\x99s entertainment games & products,new delhi,indian angel network,Seed Funding,3.76,4.0,2016.0
2016-04-25,dropkaffe,food & beverage,ready-to-drink beverage producer,bangalore,"growthstory, apurva salapuria, hitesh oberoi, sidharth pansari, nirupa shankar",Seed Funding,4.59,4.0,2016.0
2016-04-26,transerv,consumer internet,digital payments platform,mumbai,"idfc spice fund, micromax informatics",Private Equity,125.25,4.0,2016.0
2016-04-26,cleartax,consumer internet,online filing of tax returns,bangalore,"max levchin, scott banister",Private Equity,10.86,4.0,2016.0
2016-04-26,roposo,ecommerce,social fashion ecommerce discovery platform,gurgaon,bertelsmann india investments,Private Equity,125.25,4.0,2016.0
2016-04-27,milkbasket,consumer internet,micro grocery delivery platform,gurgaon,evc ventures,Seed Funding,4.17,4.0,2016.0
2016-04-27,ichr,consumer internet,mobile based children health information app,new delhi,undisclosed,Seed Funding,3.76,4.0,2016.0
2016-04-28,the wedding brigade,consumer internet,online wedding information portal,mumbai,blume ventures & other unnamed investors,Seed Funding,5.01,4.0,2016.0
2016-04-28,docsapp,consumer internet,online doctor discovery & chat platform,bangalore,"rebright partners, anand rajaraman, venky harinarayan",Private Equity,10.02,4.0,2016.0
2016-04-29,impact guru,consumer internet,online crowdfunding platform for ngos & social projects,mumbai,"rb investments, fundnel",Seed Funding,4.17,4.0,2016.0
2016-04-29,letreach,ecommerce,ecommerce saas solutions,new delhi,vcommission,Private Equity,0.83,4.0,2016.0
2016-03-02,momark,consumer internet,mobile wallet aggregation platform,noida,yournest angel fund,Private Equity,5.01,3.0,2016.0
2016-03-02,systemantics,technology,industrial robots maker,bangalore,"accel partners, nandan nilekani,",Private Equity,11.69,3.0,2016.0
2016-03-03,imarticus learning,education,financial services & analytics education institute,mumbai,"blinc advisors, amit nanavati, tashwinder singh, taranjit jaswal, amit khanna",Private Equity,8.35,3.0,2016.0
2016-03-03,shouut,consumer internet,social discovery mobile app,new delhi,undisclosed investor,Seed Funding,4.17,3.0,2016.0
2016-03-04,aahaa,ecommerce,office products super store,chennai,yournest angel fund,Private Equity,8.35,3.0,2016.0
2016-03-04,ftcash,consumer internet,mobile payments platform,kolkata,ivycap ventures,Seed Funding,1.25,3.0,2016.0
2016-03-04,zappka,consumer internet,mobile app discovery and review platform,gurgaon,"daman soni, rajat gupta & others",Seed Funding,0.83,3.0,2016.0
2016-03-04,medecube,healthcare,healthcare related services provider,gurgaon,artiman ventures,Private Equity,33.4,3.0,2016.0
2016-03-07,n.o.w,consumer internet,bike taxi service & hyperlocal delivery app,noida,"ruchirans jaipuria, anuj sanghi",Seed Funding,4.17,3.0,2016.0
2016-03-07,ninjacart,ecommerce,b2b marketplace for farmers & retailers,bangalore,"accel partners, qualcomm ventures, m&s partners, zop smart",Private Equity,25.05,3.0,2016.0
2016-03-07,reach,consumer internet,cross platform p2p file sharing mobile app,bangalore,"rebright partners, sol primero, sudhir anandarao, ankur warikoo, ankur singla",Seed Funding,4.17,3.0,2016.0
2016-03-07,vanity cube,consumer internet,hyperlocal beauty services platform,new delhi,unicorn ventures,Seed Funding,0.42,3.0,2016.0
2016-03-07,medidaili,consumer internet,medical support service platform,bangalore,undisclosed private investors,Seed Funding,0.83,3.0,2016.0
2016-03-08,lovecycles,consumer internet,women\\xe2\\x80\\x99s health tracker,bangalore,prime venture partners,Seed Funding,6.26,3.0,2016.0
2016-03-08,kartrocket,ecommerce,ecommerce saas platform,new delhi,"undisclosed japanese investor, bertelsmann india investments, nirvana digital india fund, nirvana digital investment holding co ltd, 500 start-ups",Private Equity,66.8,3.0,2016.0
2016-03-08,dunzo,consumer internet,daily task management app,bangalore,"aspada investment advisors, blume ventures.",Seed Funding,5.43,3.0,2016.0
2016-03-09,smartvizx,technology,virtual reality solutions,noida,"indian angel network, stanford angels, entrepreneurs india",Seed Funding,4.17,3.0,2016.0
2016-03-09,mygubbi,real estate,interior design & home d\\xc3\\xa9cor solutions,bangalore,"vipul parekh, ajesh k murthy,",Seed Funding,4.17,3.0,2016.0
2016-03-09,nukkad shops,consumer internet,hyperlocal grocery delivery service,hyderabad,purpletalk inc,Seed Funding,8.35,3.0,2016.0
2016-03-09,justride,consumer internet,self drive car rental,mumbai,dheeraj jain & other angel investors,Seed Funding,3.34,3.0,2016.0
2016-03-10,big fish ventures,food & beverage,premium dining lounges chain,new delhi,undisclosed investors,Private Equity,92.69,3.0,2016.0
2016-03-10,icertis,technology,contract management software solutions platform,pune/seattle,"ignition partners, greycroft partners, fidelity growth partners india",Private Equity,125.25,3.0,2016.0
2016-03-10,supplified,ecommerce,construction material etailer,new delhi,mohit goel,Seed Funding,8.35,3.0,2016.0
